id,source_line_or_heading,prioridad_wset,estilo_wset,pais,region,appellation,variedad,categoria,estado,perfiles_cwp,nota
WSET_STYLE_018,1576-1579,Imprescindible,Alsace Pinot Gris seco o casi seco,France,Alsace,Alsace / Alsace Grand Cru,Pinot Gris,blanco,CUBIERTO,SAT_WINE_007,Perfil Alsace Pinot Gris cubre el estilo.
WSET_STYLE_019,1585-1586,Opcional,Alsace Vendanges Tardives o Sélection de Grains Nobles,France,Alsace,VT / SGN,Riesling / Gewurztraminer / Pinot Gris / Muscat,dulce,PARCIALMENTE CUBIERTO,SAT_WINE_006; SAT_WINE_007; SAT_WINE_008,"Las appellations VT/SGN aparecen en perfiles, pero no hay perfil dulce dedicado."
WSET_STYLE_020,1629,Imprescindible,Chenin Blanc seco premium del Loire,France,Loire Valley,Savennières / Vouvray / Anjou,Chenin Blanc,blanco,CUBIERTO,SAT_WINE_074,Batch 010 agrega Chenin Blanc seco premium del Loire.
WSET_STYLE_021,1630,Imprescindible,Sancerre o Pouilly-Fumé,France,Loire Valley,Sancerre / Pouilly-Fumé,Sauvignon Blanc,blanco,CUBIERTO,SAT_WINE_009,Perfil Sancerre / Pouilly-Fumé cubre el estilo.
WSET_STYLE_022,1632,Imprescindible,Cabernet Franc premium del Loire,France,Loire Valley,Chinon / Bourgueil / Saumur-Champigny,Cabernet Franc,tinto,CUBIERTO,SAT_WINE_075,Batch 010 agrega Loire Cabernet Franc premium.
WSET_STYLE_023,1634,Opcional,Muscadet o Muscadet Sur Lie,France,Loire Valley,Muscadet / Muscadet Sèvre et Maine,Melon Blanc,blanco,FALTANTE,,No hay perfil Muscadet.
WSET_STYLE_024,1636,Imprescindible,Syrah premium del Norte del Ródano,France,Northern Rhône,Côte-Rôtie / Hermitage / Crozes-Hermitage,Syrah,tinto,CUBIERTO,SAT_WINE_056,Perfil Northern Rhone Syrah cubre el estilo premium.
WSET_STYLE_025,1637,Imprescindible,Châteauneuf-du-Pape o Gigondas,France,Southern Rhône,Châteauneuf-du-Pape / Gigondas,Grenache / Syrah / Mourvèdre,tinto,CUBIERTO,SAT_WINE_057; SAT_WINE_076,Batch 010 agrega Gigondas; Châteauneuf-du-Pape ya estaba cubierto.
WSET_STYLE_026,1638,Imprescindible,Côtes du Rhône o Côtes du Rhône Villages,France,Southern Rhône,Côtes du Rhône / Villages,Grenache / Syrah / Mourvèdre,tinto,CUBIERTO,SAT_WINE_077,Batch 010 agrega Côtes du Rhône Villages.
WSET_STYLE_027,1640,Opcional,Syrah del Norte del Ródano de precio medio,France,Northern Rhône,Crozes-Hermitage / Saint-Joseph,Syrah,tinto,PARCIALMENTE CUBIERTO,SAT_WINE_056,"Perfil existente cubre Syrah del norte, pero no segmento de precio medio."
WSET_STYLE_028,1642,Opcional,Condrieu,France,Northern Rhône,Condrieu / Château-Grillet,Viognier,blanco,CUBIERTO,SAT_WINE_011,Perfil Condrieu cubre el estilo.
WSET_STYLE_029,1644,Opcional,"Corbières, Fitou o Minervois",France,South of France,Corbières / Fitou / Minervois,Grenache / Syrah / Carignan / Mourvèdre,tinto,FALTANTE,,No hay perfil de tintos del sur de Francia.
WSET_STYLE_030,1645,Opcional,IGP de variedad internacional del sur de Francia,France,South of France,Pays d’Oc / IGP,Cabernet Sauvignon / Merlot / Chardonnay / Sauvignon Blanc,blanco/tinto,FALTANTE,,No hay perfil Pays d’Oc/IGP internacional.
WSET_STYLE_031,1647-1648,Opcional,Rosado Côtes de Provence o sur del Ródano,France,Provence / Southern Rhône,Côtes de Provence / Tavel / Lirac,Grenache / Cinsault / Syrah,rosado,FALTANTE,,No hay perfiles rosados.
WSET_STYLE_032,1650,Imprescindible,Riesling alemán con azúcar residual (Kabinett o Spätlese),Germany,Germany,Kabinett / Spätlese,Riesling,blanco/dulce,CUBIERTO,SAT_WINE_016; SAT_WINE_017,Perfiles Kabinett y Spätlese cubren el estilo.
WSET_STYLE_033,1651,Imprescindible,Riesling seco VDP,Germany,Mosel / Rheingau / Pfalz / Rheinhessen,VDP / trocken,Riesling,blanco,CUBIERTO,SAT_WINE_078,Batch 010 agrega Riesling seco VDP/trocken dedicado.
WSET_STYLE_034,1653,Opcional,Riesling Auslese o Beerenauslese botrytizado,Germany,Germany,Auslese / Beerenauslese,Riesling,dulce,CUBIERTO,SAT_WINE_018; SAT_WINE_019,Auslese y BA tienen perfiles.
WSET_STYLE_035,1654,Opcional,Eiswein,Germany,Germany,Eiswein,Riesling,dulce,CUBIERTO,SAT_WINE_021,Perfil Eiswein cubre el estilo.
WSET_STYLE_036,1658,Imprescindible,Grüner Veltliner austríaco,Austria,Niederösterreich,Wachau / Weinviertel / Kamptal / Kremstal,Grüner Veltliner,blanco,DUPLICADO / SOLAPADO,SAT_WINE_022; SAT_WINE_024; SAT_WINE_025; SAT_WINE_026,Un estilo WSET está cubierto por cuatro perfiles regionales; útil pedagógicamente pero solapado.
WSET_STYLE_037,1714,Imprescindible,Tokaji Aszú,Hungary,Tokaj,Tokaj,Furmint / Hárslevelű / Sárga Muskotály,dulce,CUBIERTO,SAT_WINE_079,Batch 010 agrega Tokaji Aszú.
WSET_STYLE_038,1738,Opcional,Naoussa o Nemea,Greece,Naoussa / Nemea,Naoussa PDO / Nemea PDO,Xinomavro / Agiorgitiko,tinto,FALTANTE,,El catálogo solo cubre Santorini blanco; no hay tintos griegos.
WSET_STYLE_039,1740,Imprescindible,Barolo o Barbaresco,Italy,Piemonte,Barolo / Barbaresco,Nebbiolo,tinto,DUPLICADO / SOLAPADO,SAT_WINE_060; SAT_WINE_061,La alternativa WSET está cubierta por dos perfiles separados.
WSET_STYLE_040,1741,Imprescindible,Valpolicella o Valpolicella Classico,Italy,Veneto,Valpolicella / Classico,Corvina blend,tinto,CUBIERTO,SAT_WINE_058,Perfil Valpolicella cubre el estilo.
WSET_STYLE_041,1742,Imprescindible,Amarone della Valpolicella,Italy,Veneto,Amarone della Valpolicella DOCG,Corvina blend,tinto,CUBIERTO,SAT_WINE_059,Perfil Amarone cubre el estilo.
WSET_STYLE_042,1743,Imprescindible,Chianti,Italy,Tuscany,Chianti DOCG,Sangiovese,tinto,CUBIERTO,SAT_WINE_080,Batch 010 agrega Chianti DOCG genérico separado de Chianti Classico.
WSET_STYLE_043,1744,Imprescindible,Chianti Classico Riserva o Brunello di Montalcino,Italy,Tuscany,Chianti Classico / Brunello di Montalcino,Sangiovese,tinto,DUPLICADO / SOLAPADO,SAT_WINE_063; SAT_WINE_064,"La alternativa WSET está cubierta por dos perfiles, aunque Chianti Classico no especifica Riserva."
WSET_STYLE_044,1745,Imprescindible,Tinto del sur de Italia (p. ej. Taurasi),Italy,Southern Italy,Taurasi / Puglia / Basilicata / Sicily,Aglianico / Negroamaro / Primitivo / Nero d’Avola,tinto,CUBIERTO,SAT_WINE_065,"La especificación permite p. ej. Taurasi; el perfil existente SAT_WINE_065 cubre ese ejemplo sin crear duplicado."
WSET_STYLE_045,1747,Opcional,Pinot Grigio del Veneto,Italy,Veneto,Pinot Grigio delle Venezie / Veneto,Pinot Grigio,blanco,FALTANTE,,No hay perfil Pinot Grigio del Veneto.
WSET_STYLE_046,1749,Opcional,"Pinot Grigio Alto Adige, Trentino o Friuli",Italy,North-East Italy,Alto Adige / Trentino / Friuli,Pinot Grigio,blanco,DUPLICADO / SOLAPADO,SAT_WINE_028; SAT_WINE_029; SAT_WINE_030,La alternativa WSET está cubierta por tres perfiles.
WSET_STYLE_047,1750,Opcional,Soave o Soave Classico,Italy,Veneto,Soave / Soave Classico,Garganega,blanco,CUBIERTO,SAT_WINE_031,Perfil Soave Classico cubre el estilo.
WSET_STYLE_048,1752,Imprescindible,Rioja Reserva o Gran Reserva,Spain,Rioja,Rioja DOCa,Tempranillo blend,tinto,CUBIERTO,SAT_WINE_066,Perfil Rioja Reserva cubre el estilo.
WSET_STYLE_049,1753,Imprescindible,Ribera del Duero,Spain,Ribera del Duero,Ribera del Duero DO,Tempranillo,tinto,CUBIERTO,SAT_WINE_067,Perfil Ribera del Duero cubre el estilo.
WSET_STYLE_050,1754,Imprescindible,Priorat,Spain,Priorat,Priorat DOCa,Garnacha / Cariñena,tinto,CUBIERTO,SAT_WINE_068,Perfil Priorat cubre el estilo.
WSET_STYLE_051,1756,Imprescindible,Rías Baixas o Rueda,Spain,Rías Baixas / Rueda,Rías Baixas DO / Rueda DO,Albariño / Verdejo,blanco,DUPLICADO / SOLAPADO,SAT_WINE_038; SAT_WINE_039,La alternativa WSET está cubierta por dos perfiles.
WSET_STYLE_052,1758,Opcional,Monastrell (p. ej. Jumilla),Spain,Levante,Jumilla / Yecla,Monastrell,tinto,FALTANTE,,No hay perfil Monastrell/Jumilla.
WSET_STYLE_053,1760,Opcional,"Douro, Dão o Alentejo tinto",Portugal,Douro / Dão / Alentejo,Douro DOC / Dão DOC / Alentejo,Touriga Nacional / Tinta Roriz / blends,tinto,PARCIALMENTE CUBIERTO,SAT_WINE_069; SAT_WINE_070,Douro y Dão cubiertos; Alentejo no.
WSET_STYLE_054,1762-1763,Imprescindible,California Cabernet Sauvignon o Merlot premium,USA,California,Napa / Sonoma,Cabernet Sauvignon / Merlot,tinto,CUBIERTO,SAT_WINE_081,Batch 010 agrega California Cabernet Sauvignon / Merlot premium.
WSET_STYLE_055,1764,Imprescindible,California Zinfandel,USA,California,Dry Creek Valley / Lodi,Zinfandel,tinto,CUBIERTO,SAT_WINE_082,Batch 010 agrega California Zinfandel.
WSET_STYLE_056,1766-1767,Imprescindible,California Chardonnay premium,USA,California,Sonoma / Santa Barbara / coastal AVAs,Chardonnay,blanco,CUBIERTO,SAT_WINE_044; SAT_WINE_045,California/Sonoma Chardonnay cubren el estilo.
WSET_STYLE_057,1769,Opcional,Willamette Valley Pinot Noir,USA,Oregon,Willamette Valley,Pinot Noir,tinto,FALTANTE,,No hay perfil Oregon Pinot Noir.
WSET_STYLE_058,1770-1771,Opcional,California Pinot Noir premium,USA,California,Sonoma / Santa Barbara,Pinot Noir,tinto,FALTANTE,,No hay perfil California Pinot Noir.
WSET_STYLE_059,1775,Opcional,White Zinfandel,USA,California,California,Zinfandel,rosado,FALTANTE,,No hay perfiles rosados ni White Zinfandel.
WSET_STYLE_060,1779,Opcional,Icewine,Canada,Ontario / British Columbia,Niagara Peninsula / Okanagan Valley,Vidal / Riesling,dulce,FALTANTE,,Canadá no está representado.
WSET_STYLE_061,1799,Imprescindible,Chile Carmenère premium,Chile,Cachapoal / Colchagua,Cachapoal / Colchagua,Carmenère,tinto,CUBIERTO,SAT_WINE_083,Batch 010 agrega Chile Carmenère premium.
WSET_STYLE_062,1801,Imprescindible,Chile tinto económico de volumen,Chile,Central Valley,Central Valley,Cabernet Sauvignon / Merlot / Carmenère / Syrah,tinto,CUBIERTO,SAT_WINE_084,Batch 010 agrega tinto de volumen del Central Valley.
WSET_STYLE_063,1802-1803,Opcional,Chile Cabernet Sauvignon premium,Chile,Maipo / Cachapoal / Colchagua,Maipo / Cachapoal / Colchagua,Cabernet Sauvignon,tinto,FALTANTE,,No hay perfil Chile Cabernet Sauvignon.
WSET_STYLE_064,1805,Opcional,Chile Chardonnay o Sauvignon Blanc,Chile,Casablanca / San Antonio,Casablanca / San Antonio,Chardonnay / Sauvignon Blanc,blanco,PARCIALMENTE CUBIERTO,SAT_WINE_046,Sauvignon Blanc costero cubierto; Chardonnay chileno falta.
WSET_STYLE_065,1807,Imprescindible,Argentina Malbec de precio medio,Argentina,Mendoza,Mendoza,Malbec,tinto,CUBIERTO,SAT_WINE_085,Batch 010 agrega Malbec de Mendoza de precio medio.
WSET_STYLE_066,1809,Imprescindible,Argentina Torrontés premium,Argentina,Salta,Cafayate,Torrontés,blanco,CUBIERTO,SAT_WINE_047,Perfil Salta Torrontes cubre el estilo.
WSET_STYLE_067,1811,Opcional,Argentina Cabernet Sauvignon o mezcla premium,Argentina,Mendoza,Mendoza / Uco / Luján de Cuyo,Cabernet Sauvignon / Bordeaux blend,tinto,FALTANTE,,No hay perfil de Cabernet/mezcla argentina.
WSET_STYLE_068,1812,Opcional,Argentina Malbec premium,Argentina,Uco / Luján de Cuyo,Valle de Uco / Luján de Cuyo,Malbec,tinto,FALTANTE,,No hay perfil Malbec premium.
WSET_STYLE_069,1814,Imprescindible,South Africa Pinotage premium,South Africa,Western Cape,Stellenbosch / Paarl / Swartland,Pinotage,tinto,CUBIERTO,SAT_WINE_086,Batch 010 agrega Pinotage premium sudafricano.
WSET_STYLE_070,1816,Imprescindible,South Africa Chenin Blanc con roble premium,South Africa,Western Cape,Swartland,Chenin Blanc,blanco,CUBIERTO,SAT_WINE_087,Batch 010 agrega Chenin Blanc sudafricano premium con roble.
WSET_STYLE_071,1818,Opcional,South Africa Cabernet Sauvignon premium,South Africa,Western Cape,Stellenbosch,Cabernet Sauvignon,tinto,FALTANTE,,No hay perfil Cabernet Sauvignon sudafricano.
WSET_STYLE_072,1822,Opcional,Marca económica tinto/blanco de volumen,South Africa,Western Cape,Western Cape,varias,blanco/tinto,FALTANTE,,No hay arquetipo de marca económica de volumen.
WSET_STYLE_073,1845,Imprescindible,Australia Shiraz premium,Australia,South Australia,Barossa / McLaren Vale,Shiraz,tinto,CUBIERTO,SAT_WINE_088,Batch 010 agrega Shiraz australiano premium.
WSET_STYLE_074,1846-1847,Imprescindible,Australia Cabernet Sauvignon o mezcla Cabernet premium,Australia,Coonawarra / Margaret River,Coonawarra / Margaret River,Cabernet Sauvignon / blend,tinto,CUBIERTO,SAT_WINE_089,Batch 010 agrega Cabernet Sauvignon / blend australiano premium.
WSET_STYLE_075,1848,Imprescindible,Australia Grenache o mezcla Grenache premium,Australia,McLaren Vale,McLaren Vale,Grenache,tinto,CUBIERTO,SAT_WINE_090,Batch 010 agrega Grenache / blend australiano premium.
WSET_STYLE_076,1850,Imprescindible,Eden Valley o Clare Valley Riesling,Australia,Eden Valley / Clare Valley,Eden Valley / Clare Valley,Riesling,blanco,CUBIERTO,SAT_WINE_050; SAT_WINE_091,Batch 010 agrega Eden Valley Riesling; Clare Valley ya estaba cubierto.
WSET_STYLE_077,1851,Imprescindible,Hunter Valley Semillon,Australia,Hunter Valley,Hunter Valley GI,Semillon,blanco,CUBIERTO,SAT_WINE_049,Perfil Hunter Valley Semillon cubre el estilo.
WSET_STYLE_078,1852-1853,Imprescindible,Australia Chardonnay premium,Australia,Yarra / Mornington / Tasmania,Yarra Valley / Mornington Peninsula / Tasmania,Chardonnay,blanco,CUBIERTO,SAT_WINE_092,Batch 010 agrega Chardonnay australiano premium.
WSET_STYLE_079,1855,Opcional,Australia Shiraz de otro estilo o nivel,Australia,Australia,Barossa / McLaren Vale / otros,Shiraz,tinto,FALTANTE,,No hay perfil Shiraz base.
WSET_STYLE_080,1856-1857,Opcional,Australia Pinot Noir premium,Australia,Yarra / Mornington / Tasmania,Yarra Valley / Mornington Peninsula / Tasmania,Pinot Noir,tinto,FALTANTE,,No hay perfil Pinot Noir australiano.
WSET_STYLE_081,1872,Imprescindible,New Zealand Pinot Noir,New Zealand,Central Otago / Martinborough / Marlborough,regional GI,Pinot Noir,tinto,CUBIERTO,SAT_WINE_093,Batch 010 agrega Pinot Noir neozelandés.
WSET_STYLE_082,1874,Imprescindible,New Zealand Sauvignon Blanc premium,New Zealand,Marlborough,Marlborough GI,Sauvignon Blanc,blanco,CUBIERTO,SAT_WINE_051,Perfil Marlborough Sauvignon Blanc cubre el estilo.
WSET_STYLE_083,1876-1877,Opcional,Hawke’s Bay tinto estilo Burdeos o Syrah,New Zealand,Hawke’s Bay,Hawke’s Bay GI,Bordeaux blend / Syrah,tinto,FALTANTE,,No hay perfil Hawke’s Bay tinto.
WSET_STYLE_084,1879,Opcional,New Zealand Chardonnay premium,New Zealand,Marlborough / Gisborne,Marlborough / Gisborne,Chardonnay,blanco,FALTANTE,,No hay perfil Chardonnay neozelandés.
WSET_STYLE_085,1880,Opcional,New Zealand Sauvignon Blanc con roble,New Zealand,Marlborough,Marlborough GI,Sauvignon Blanc,blanco,PARCIALMENTE CUBIERTO,SAT_WINE_051,"Variedad/región cubierta, pero no estilo con roble."
WSET_STYLE_086,1887,Opcional,Vino naranja de cualquier país/región,Any,Any,Any,varias,fuera_de_alcance,FUERA DE ALCANCE,,Categoría no solicitada por CWP-AUDIT-01; documentada como fuera de alcance.
WSET_STYLE_087,1909,Imprescindible,Champagne non-vintage,France,Champagne,Champagne,Chardonnay / Pinot Noir / Meunier,espumoso,CUBIERTO,SAT_WINE_094,Batch 011 agrega Champagne non-vintage.
WSET_STYLE_088,1911,Opcional,Champagne vintage o prestige cuvée,France,Champagne,Champagne,Chardonnay / Pinot Noir / Meunier,espumoso,CUBIERTO,SAT_WINE_095,Batch 011 agrega Champagne vintage / prestige cuvée.
WSET_STYLE_089,1913,Opcional,Crémant,France,Alsace / Burgundy / Loire,Crémant d’Alsace / Bourgogne / Loire,varias,espumoso,CUBIERTO,SAT_WINE_096,Batch 011 agrega Crémant como espumoso oficial opcional.
WSET_STYLE_090,1915,Imprescindible,Asti,Italy,Piemonte,Asti DOCG,Muscat Blanc à Petits Grains,espumoso/dulce,CUBIERTO,SAT_WINE_098,Batch 011 agrega Asti dulce espumoso.
WSET_STYLE_091,1915,Imprescindible,Prosecco,Italy,Veneto / Friuli,Prosecco / Conegliano-Valdobbiadene,Glera,espumoso,CUBIERTO,SAT_WINE_099,Batch 011 agrega Prosecco.
WSET_STYLE_092,1917,Imprescindible,Cava,Spain,Catalonia / Spain,Cava DO,Macabeo / Xarel-lo / Parellada,espumoso,CUBIERTO,SAT_WINE_097,Batch 011 agrega Cava.
WSET_STYLE_093,1922-1923,Imprescindible,Espumoso método tradicional de Australia/NZ/Sudáfrica/EE. UU.,Australia / New Zealand / South Africa / USA,Tasmania / Marlborough / Cap Classique / California,regional,Chardonnay / Pinot Noir,espumoso,CUBIERTO,SAT_WINE_100,Batch 011 agrega un ejemplo de método tradicional del Nuevo Mundo representado por Tasmania.
WSET_STYLE_094,1939,Imprescindible,Fino o Manzanilla,Spain,Jerez,Jerez-Xérès-Sherry / Manzanilla-Sanlúcar,Palomino,fortificado,FALTANTE,,No hay perfiles generosos/Jerez.
WSET_STYLE_095,1940,Imprescindible,Amontillado seco u Oloroso seco,Spain,Jerez,Jerez-Xérès-Sherry,Palomino,fortificado,FALTANTE,,No hay perfiles generosos/Jerez.
WSET_STYLE_096,1942,Opcional,Jerez Medium o Cream,Spain,Jerez,Jerez-Xérès-Sherry,Palomino + PX/Moscatel,fortificado/dulce,FALTANTE,,No hay perfiles generosos/Jerez dulce.
WSET_STYLE_097,1944,Imprescindible,Oporto LBV u Oporto Vintage,Portugal,Douro,Port,Touriga Franca / Tinta Roriz / Touriga Nacional,fortificado/dulce,FALTANTE,,No hay perfiles Oporto.
WSET_STYLE_098,1945,Imprescindible,Porto Tawny con indicación de edad,Portugal,Douro,Port,Touriga Franca / Tinta Roriz / Touriga Nacional,fortificado/dulce,FALTANTE,,No hay perfiles Oporto Tawny.
WSET_STYLE_099,1950,Opcional,Muscat de Beaumes-de-Venise,France,Southern Rhône,Muscat de Beaumes-de-Venise,Muscat,fortificado/dulce,FALTANTE,,No hay perfiles moscateles encabezados.
WSET_STYLE_100,1951,Opcional,Rutherglen Muscat,Australia,Rutherglen,Rutherglen,Muscat,fortificado/dulce,FALTANTE,,No hay perfiles moscateles encabezados.
